Bankrupt,working capital to total assets assets,retained earning to total assets,ROA (C) : Return On Total Assets (C) : before interest and depreciation before interest,net worth / assets
0,765325289,926402305,453224784,869456118
0,705519829,938581094,465412178,840886417
0,849544048,935363268,495929411,910149046
0,778796619,93717918,490664457,892704901
0,802461461,933871614,475990835,881911903
0,77431432,934103064,482425779,894942105
0,737618354,925919461,449373568,875744475
0,75277346,916019786,490176961,907337425
0,795233708,930828979,478038317,903407201
0,720983654,914204165,462389704,888744445
0,756676182,92462022,483839516,885570034
0,771116702,953478685,557938868,951779182
0,81361388,928900931,487154487,977416332
0,702746404,89382069,370643007,818846933
0,769506268,932072025,492321942,898358376
0,757724184,941203052,514649247,916256009
0,718172619,930393668,482182031,859963116
0,746051718,933143238,495880661,902832784
0,803124997,936264322,493491932,903225806
0,77755798,928664268,473358358,955165221
0,81264622,935300572,536245308,879463071
0,845403894,934997107,477843319,919883907
0,746326885,934140261,495441915,827825982
0,80691616,938595529,479939551,91250718
0,759093266,940912881,465363428,947818726
0,763645222,925988518,488665724,931251323
0,78831792,932936653,493784429,945521057
0,786357989,953111695,535367816,912235088
0,82716688,938695412,520840443,859056142
0,721271608,914831508,455467265,817788796
0,779531393,942032511,505630576,871451462
0,832528609,946777783,578949934,863802642
0,768227783,936456831,520645444,848716631
0,833762767,928073833,466045922,942376878
0,69998927,921473576,446692341,867279378
0,788738947,937092932,489055721,858391027
0,828203433,929760728,489640716,883483992
0,812376256,958548664,558767611,929981558
0,806413741,948545105,587871106,882214227
0,804820414,932006132,485886998,855004988
0,757796213,936072802,497489397,879553768
0,76624335,929182324,480914542,848746863
0,79083032,908566796,484375762,944311757
0,752079855,90956871,497781894,866311939
0,676178258,92657798,474772096,791093509
0,706557161,911477911,458050992,881730508
0,77582691,931604029,461463462,910965323
0,760644363,927679753,453371033,865314267
0,712999483,938571317,46516843,843637573
0,850816211,93173031,465948423,907428122
0,804862322,936503551,489981963,880521208
0,791886566,933307678,47545459,878525864
0,78215128,936107319,483888266,89488164
0,751440489,921160887,446399844,873718898
0,752618803,916713674,486520743,903497899
0,806433173,929274144,48115829,910783928
0,73317707,933285643,480085799,899658373
0,756275004,923744988,481012041,879221211
0,769850779,957345882,546482718,964930314
0,815238942,93274244,484278263,972307041
0,71448078,933175173,471847121,863923572
0,786249726,933439278,494613172,900686277
0,770992766,939380643,501340613,922635064
0,733493589,929660777,476819578,860870091
0,788843204,93332141,499146882,913444387
0,79129114,924175853,43313996,899779303
0,789364367,928717756,475844586,966290776
0,779525499,939902941,520840443,91918856
0,837360635,925708921,472773363,945823382
0,746031935,936751051,501291864,86401427
0,790928956,937875415,474918344,910753696
0,753925472,941121197,470335885,944311757
0,783128417,921715037,468629649,928832724
0,815685913,932018036,476234583,965897754
0,780045884,953806699,534100327,92550715
0,861478287,938179034,511188027,860325906
0,736217074,884572055,388192853,842156181
0,788530301,943305242,512748013,872993319
0,880681898,949411764,580217423,866432869
0,756448172,935727145,506069322,839616652
0,843558295,921093497,447179837,940381534
0,700206289,912489551,440549895,86353055
0,773411236,93734087,485984498,852072437
0,797874564,920920242,441963633,855367778
0,837450165,959884171,543460245,960788463
0,82801631,950243612,599132258,918402515
0,803686207,933419138,489250719,849623606
1,669427859,890684009,453956028,753423829
0,757483787,94087023,517476722,894488617
0,765027584,933504261,47199337,868821235
0,813119339,907023068,48003705,955074523
0,75990696,911281935,488763223,86220032
0,680706409,924299765,474187101,788614445
0,704288112,908878561,459757227,89367234
0,776640701,926294451,430507483,918856003
0,77839285,926453063,473358358,862291018
0,712902073,947738616,466045922,865707289
0,861864538,930169427,459123483,922876924
0,791806796,9381352,492029445,882032832
0,791963287,932895052,473748355,865556127
0,793154607,934845169,481353288,905190918
0,742292629,91510084,444693609,86389334
0,767363257,915301904,494271925,898116516
0,836726958,926796878,481743285,918916468
0,764907904,932132014,470238385,906369985
0,7693452,927877802,507336811,884511896
0,769531932,957525622,526056647,967076821
0,841279967,930659002,482523278,978020981
0,743062106,922765438,432116219,858270097
0,792894582,93057569,482913275,908607189
0,759189159,94117964,511236777,902681622
0,720782901,919950263,452737289,864346827
0,784919304,936110395,498561888,914139735
0,79735134,934184562,5029006,903981619
0,802107192,937617562,506751816,973667503
0,78247888,93528332,50056062,918523445
0,837398375,940382783,475990835,935272244
0,767467685,936168225,499341881,860749161
0,798704008,935331081,462048457,91238625
0,766617459,927353356,453809779,924086223
0,811794354,914823852,470725881,959186141
0,795442033,928265787,453809779,961876833
0,798612314,954633595,538829035,903346736
0,843583173,939240329,511821772,866251474
0,67693822,88592088,418563838,811530671
0,797877314,943617867,524691659,848384074
0,902532055,946166387,565105055,862351483
0,754865103,936180961,511236777,841944554
0,853812822,917153259,462925949,951083835
0,732200519,904146869,442353629,935876893
0,782340063,938935219,478038317,85125616
0,82435605,921462375,488178228,850107325
0,855395035,957802342,552771413,949904768
0,818873375,944233393,552673914,929679233
0,799076608,92924295,461999708,833812014
1,677863247,846494745,311314776,706291381
0,756830007,9394791,509335543,890709556
0,762470406,93318209,480329547,854702663
0,810462451,910657431,46633842,947365239
0,745301531,899061424,443036123,856456148
0,672561234,914594855,45029981,794600478
0,737601175,904810245,457417248,895304895
0,781760109,91593894,407058938,929225746
0,756220697,90811391,437819919,865163104
0,715447303,944968839,48003705,901049067
0,874614941,928451817,460927217,966714031
0,800933723,93955191,506410569,887323518
0,792612747,931355541,465997173,903860689
0,759779564,932370936,475064593,924267618
0,739003791,910314455,448886072,855639871
0,769914129,90703317,447911081,887777005
0,848552451,929706106,483742017,918190888
0,752376438,905076146,400526495,893128156
0,765790004,928539163,485886998,861625903
0,833075661,953820906,50631307,933035039
0,858414718,928766325,477404573,965353569
0,722827312,862304086,364841808,819693443
0,798726974,929628409,485204504,919369955
0,758099009,932749725,467654658,876500287
0,721923566,917032725,460000975,859842186
0,750871024,927861861,47087213,888835142
0,806414548,932094064,492955687,90655138
0,800986209,93218204,474138351,973758201
0,776613968,908817853,478915809,93073737
0,84554271,943523555,489543216,956102428
0,799858901,935905868,496953152,851709647
0,824262494,934599716,476088334,904676966
0,76240985,923012151,460195973,930042023
0,831687034,921213188,501486862,960244279
0,794125038,916793648,438453664,970493092
0,80192571,95200163,528104129,889923512
0,817281083,936945943,497879394,862079391
0,70047466,879228432,419100083,84348641
0,80470284,944410595,528981621,887444448
0,838605593,946109164,565202554,855488708
0,770635993,936067705,515867986,856063125
0,861730551,914115933,45142105,936360613
0,817507466,897998889,446009847,95576987
0,779113117,939191979,493248184,858572422
0,828134895,908864895,448057329,859146839
0,87493155,95741894,537074051,965716359
0,789311369,937424616,537025301,921607159
0,720683104,93432826,50748306,812649273
0,766773036,925396739,451518549,835716661
1,833670214,928317018,44688734,824560873
0,768062278,941017143,511919271,893007226
0,767461627,933672185,479500804,865918916
0,803602547,923691689,472285867,948393143
0,756273273,886368281,498561888,870121232
0,703007501,913188734,480914542,810321371
0,752440685,904245651,465363428,91930949
0,772736109,925450249,467605908,950116395
0,739446271,886592752,437332423,835444569
0,73646251,939214033,469945888,931402485
0,891285283,936608973,502559353,965383801
0,77997964,942996562,493053186,953865224
0,804168211,927520573,467020914,941258276
0,778044825,938638268,497830644,938567585
0,721906373,89679543,433676205,85721196
0,773746093,912868636,494125676,87544215
0,856392981,930083634,48340077,927653657
0,706670107,936972262,485935748,892553738
0,779686999,933040056,501925608,861353811
0,770967442,952456574,495003169,924630408
0,876860454,935370497,489250719,983069807
0,803852458,879756587,496806903,846842217
0,815936891,932024749,478720811,910844393
0,792984823,934007704,493394433,864195665
0,739572109,907609391,47540584,880763068
0,760891144,936059741,500024375,869909605
0,828952034,933699801,487300736,904949058
0,810586847,921781689,461414713,972730296
0,752655319,932922504,4799883,912235088
0,838345281,943893358,488178228,969314025
0,764710325,933476695,471457125,843002691
0,787878048,92926552,461170965,895818847
0,778894967,924743136,468142154,945007105
0,859660257,912199408,48803198,969344257
0,795662589,918698521,425437527,938839677
0,81342116,956370842,517476722,927381564
0,823352029,936523011,488275728,85040965
0,745578623,870210383,452932287,889016537
0,826969059,943312578,529225369,898479306
0,826961151,953774762,607273436,886446776
0,763609216,937068855,519914201,868609608
0,890676128,927273093,491541949,953079179
0,807118647,89611991,495149417,969465187
0,768756766,94086708,494028177,846146869
0,852078086,910047569,457709745,932762947
0,892009886,956643006,530687856,95746289
0,806520617,93508174,512065519,914139735
0,727490487,934160166,504704334,790065604
0,80139065,941744734,544776483,844393385
1,691240549,908281141,410178911,78855398
1,732813895,929396075,44795983,768116818
1,676950978,894696163,392385317,815037639
0,761017699,936282583,486228246,883302597
0,750012983,932499307,473943353,852011972
0,805941012,923772343,483205772,953139644
0,741681569,868128414,442012382,856093358
0,688007971,906261335,457612246,802914412
0,74600042,899820213,448252328,930314116
0,762239393,926046876,479062058,942618738
0,689626049,910920673,4171501,823412039
0,712124208,937957334,469604641,900414185
0,87813156,923963238,426900015,965081477
0,784992193,939622035,493296934,932248995
0,810608672,928869938,473943353,942014088
0,762330115,934160567,465558426,937721075
0,735471818,890631751,446546093,855821266
0,793216784,928768904,467118413,872177041
0,856145786,933105174,480573295,957523355
0,726543483,935786293,469555891,903981619
0,699372532,915242198,435869936,844151525
0,766201099,949747425,448642324,929679233
0,866404712,928166251,482864525,982586087
0,813739252,934913608,493248184,885902591
0,800782561,932932022,482084532,922090879
0,74110292,918385132,428752498,872690994
0,728074396,927737955,458489738,886507241
0,749761452,922550249,464193438,842579436
0,815423822,926314372,450056062,883544457
0,805203372,916100363,428460001,974665175
0,738180423,926176399,456101009,904404873
0,832252573,942778582,481597036,976448892
0,761827732,927460918,453127285,809323699
0,783341811,923515065,442061132,88807933
0,753198801,912077218,461317213,916467636
0,849150472,920512168,523667918,97508843
0,794699578,911279784,399844001,946276869
0,818455144,952115287,485838249,927169937
0,832424654,934659939,476722079,892221181
0,684003006,837131268,393847804,842609668
0,796214306,941507546,509384293,898539771
0,794428327,939776016,508360552,895516522
0,777075864,937312601,533076586,880400278
0,884007792,925397183,463023449,954137316
0,840631318,915782005,388046605,988360492
0,750072101,940901908,49027446,861081718
0,796665344,876630372,389119095,882818877
0,902844902,955220569,522595427,976025637
0,803671295,938784811,527275386,920156
0,713163644,92846356,467508409,781902833
0,815753374,943852712,535270316,873084016
1,663915524,913020361,401355238,743023853
0,791459237,934358588,491931946,884421199
0,810333033,9370609,479500804,892674668
0,750916153,925737861,464632184,833721317
0,808335071,953457671,497830644,944735012
0,85175698,935978059,484034515,835384104
0,714626884,930025162,484668259,84433292
0,825124962,934746642,492126944,816307404
0,851676332,936285087,498415639,907700215
0,76473867,940561766,512553015,868579375
0,748168469,931987718,477502072,880188651
0,887787954,940322221,522839175,956193125
0,78264712,938078484,506215571,869335188
0,773625697,938024231,514015502,853704991
0,774442595,937092402,524984156,834144572
0,749285596,936075033,535172817,862623575
0,753546099,938839883,532247843,867007286
0,863492463,956284028,509871789,936783868
0,753090655,942778195,505630576,884149107
0,883605967,962143869,685077756,956041963
0,839006592,93989475,499926876,865677057
0,866432508,937335938,50168186,926958309
0,87026177,955831533,528786623,941318741
0,809339239,95326689,63315946,875653778
0,855441874,941199498,501340613,868156121
0,77208007,935737733,499000634,842367808
0,771901486,938991854,527324136,847446866
0,762130087,938425429,508409301,874263083
0,793284306,950197769,571198752,900293255
0,781755138,925514135,437429922,853493364
0,795251687,944620766,551406425,894307223
0,806018221,934900529,478038317,885177011
0,792526441,941920262,438209916,892402576
0,737522795,93970396,485594501,841400369
0,856749515,930517088,495051918,874897965
0,872027564,964002893,506800565,939867582
0,878499844,947957821,605225954,943646643
0,82077811,944601709,527567884,930162953
0,743640971,940033253,517330473,860295674
0,762312131,932482347,488568225,863742177
0,733773995,940307272,556866377,843425946
0,822656417,947774119,495685663,927562959
0,882105386,934507226,474479598,94410013
0,780097016,923744946,427143762,862835203
0,788494947,938799674,52225418,888381655
0,843130026,956547891,514405499,914139735
0,785235085,938618976,486081997,836018986
0,822893736,934909851,488275728,843425946
0,748682881,951601041,499829376,902349064
0,809238279,935317268,519085458,878949119
0,801881938,95648845,532832838,90594673
0,756219878,876614172,474723346,887504913
0,769906552,935824,475308341,796021405
0,72208738,941588484,561010091,806481845
0,802888451,951957435,551162677,884179339
0,770799453,933854274,482815775,836200381
0,833729529,936714971,498123141,852798017
0,777490106,937480519,521425438,839677117
0,78105311,937122572,480719544,864225897
0,77362774,931689212,48232828,828642259
0,71837179,940419088,561692585,81419113
0,774424602,933205279,490371959,821688787
0,805964,946216117,516452981,903346736
0,793716659,929475248,457319748,821960879
0,817867916,944664924,496806903,866009614
0,90270988,935497113,485643251,937116425
0,753993546,937772756,490810705,896121172
0,824484768,940169026,514600497,929830396
0,784496606,934256225,507629308,865435197
1,721815364,929930021,4913957,832481785
0,786856006,935244061,496611905,877377029
0,762836873,933778021,474138351,866100311
0,722843795,93138742,486569493,839132932
0,803138485,949083543,47657583,94422106
0,823666439,932801502,484083264,820449255
0,714744549,930824382,494028177,853704991
0,81364365,928766071,450543558,813314388
0,824483959,936282639,502656852,88928863
0,779120243,932457276,495149417,833570154
0,760955045,908513597,405498952,870604952
0,872717106,920385962,454979769,970039605
0,778391385,937110599,501974358,87580494
0,786130954,939544458,526495393,854128246
0,738252418,933933805,507824307,835414336
0,731190685,930714608,496660654,833993409
0,72895715,932573945,489396968,841067811
0,862353026,954728824,511919271,929165281
0,768003249,933020144,459172232,887263053
0,876948886,957593178,641739385,964658222
0,836551532,937894752,500950617,865344499
0,877955926,935531148,493833179,928923421
0,873239999,954915635,551893921,926837379
0,854244268,94919459,580168674,897844424
0,82912942,93791471,49826939,834688757
0,749268893,935386716,504655584,820781812
0,791112249,943899111,554672647,8629259
0,771604173,932926469,482377029,860809626
0,802698401,948859532,541364013,904223479
0,807732585,931966055,498854385,86851891
0,806981499,94497629,577389948,858904979
0,807235785,936925352,500804368,875714243
0,78644078,953402803,555550139,893853735
0,760894799,938646235,484668259,823502736
0,851104346,911170023,5600351,906521148
0,874225504,966468347,51884171,94289083
0,77768751,941631853,569443767,873597968
0,808822187,93916606,536927802,890528162
0,740185552,93655587,494418174,853100342
0,759978643,933621871,499293131,851558485
0,722488143,932288354,511139278,818242283
0,783737308,932458977,499780627,815672522
0,818679239,947106303,490859455,937811773
0,878869795,933687526,489981963,941379206
0,772181845,923820725,438648662,835384104
0,788664435,936250132,508214303,859388699
0,830090312,954636437,513333008,90180488
0,800692685,943300628,518695461,831907368
0,812049212,935903188,499049383,839888744
0,74333047,948763485,500170624,903286271
0,815841826,936853782,529859114,881246788
0,795321498,946183059,504168089,883151435
0,839353067,942993619,536976551,955165221
0,770222423,936425643,489738215,789944675
0,796325949,942497055,56232633,863681712
0,789452385,953370661,563106323,876318892
0,825679051,938470583,482035782,841279439
0,735178023,936689971,51313801,834235269
0,803910029,93715812,487544484,894186293
0,748630852,932528568,484668259,818635305
0,720125983,940982054,562131331,820207395
0,769252766,934401408,499683128,816126009
0,855042012,952157467,570077512,917314146
0,802306917,935629281,505289329,820177162
0,861885621,943479871,551650173,860446836
0,92495755,939629009,508068054,955255918
0,729616645,936853339,505630576,836442241
0,788967209,893449685,336274558,893339783
0,818974516,942685202,524057914,907428122
0,794902808,940402925,526300395,857272425
1,780154743,914539521,40116024,784351664
0,790032833,936062849,491736947,873900293
0,763870801,934508615,472870862,868125888
0,710642668,92607157,468093404,823623666
0,810508208,95288335,493784429,93705596
0,785120551,933797943,507044313,857363122
0,793500718,93771449,504314337,866765426
0,815220546,930258877,462292205,869274723
0,756157217,934972732,492955687,842035251
0,724857763,931873393,476332082,9070351
0,870576436,914232619,486715741,949844303
0,789092947,93275628,478672062,865314267
0,773418516,943623576,532784088,848142214
0,758642951,939237017,525032906,830818998
0,763411885,944883247,529274119,884330502
0,726712137,934498079,508263053,844514315
0,825153553,956291271,525227904,908214167
0,762930367,921566125,473065861,833902712
0,81898423,960503507,602349729,91991414
0,801887499,931516836,480329547,820691115
0,821888852,948400176,573538732,874232851
0,841118029,954612569,550382684,910935091
0,875116046,941993955,507239312,843788735
0,796054827,933112654,463559694,779998186
0,818784198,937299883,506118071,842488738
0,821215971,942984806,512553015,912416483
0,776745645,94098155,528640374,854067781
0,760355681,939054463,481402038,841309671
0,818966844,939865621,506361819,906218823
0,874779443,937200927,51659923,828188772
0,809160325,939410986,504265588,895788614
0,760913873,955398954,568468776,860688696
0,751352207,944994485,520401696,839979442
0,813206257,936434607,511870521,899900233
0,777264279,938943256,513284259,890921184
0,839750889,956859948,626529518,887081658
0,816722688,962895742,508506801,901835112
0,814661097,946798701,574513723,875472383
0,828284922,94006141,55428265,872086344
0,836802888,946947907,57943743,877860749
0,775476911,949606879,563886316,884874686
0,840716942,942032997,538780286,909514164
0,737145819,935535672,530395359,854611966
0,761280953,93928696,535319066,866251474
0,861484106,96430997,674889095,931976902
0,720793447,955422032,611222152,84372827
0,7712373,93658231,519329206,837621308
0,818337454,939549256,495344416,830546906
0,839453214,945303077,481207039,941590834
0,820943143,937423377,495588164,897179309
0,759824373,932429789,482913275,829609699
0,783610044,936936759,507678058,879281676
0,845149415,959685282,540730269,890649092
0,856871575,945670069,547213962,849049188
0,812098042,939583325,519182957,835867824
